games,gxe,elo,rd
357,90.6,2216,25.0
358,90.7,2237,25.0
358,90.7,2237,25.0
358,90.7,2237,25.0
358,90.7,2237,25.0
359,90.8,2259,25.0
359,90.8,2259,25.0
360,90.7,2244,25.0
360,90.7,2244,25.0
361,90.7,2260,25.0
361,90.7,2260,25.0
362,90.8,2274,25.0
362,90.8,2274,25.0
363,90.8,2291,25.0
363,90.8,2291,25.0
364,90.9,2320,25.0
364,90.9,2320,25.0
364,90.9,2320,25.0
364,90.9,2320,25.0
365,90.8,2291,25.0
365,90.8,2291,25.0
365,90.8,2291,25.0
365,90.8,2291,25.0
366,90.9,2312,25.0
366,90.9,2312,25.0
366,90.9,2312,25.0
366,90.9,2312,25.0
367,90.8,2279,25.0
368,90.9,2299,25.0
368,90.9,2299,25.0
368,90.9,2299,25.0
369,90.8,2277,25.0
369,90.8,2277,25.0
369,90.8,2277,25.0
369,90.8,2277,25.0
370,90.7,2253,25.0
370,90.7,2253,25.0
370,90.7,2253,25.0
371,90.8,2276,25.0
371,90.8,2276,25.0
371,90.8,2276,25.0
372,90.7,2259,25.0
372,90.7,2259,25.0
373,90.7,2272,25.0
373,90.7,2272,25.0
373,90.7,2272,25.0
374,90.7,2251,25.0
375,90.6,2227,25.0
375,90.6,2227,25.0
375,90.6,2227,25.0
375,90.6,2227,25.0
376,90.5,2212,25.0
376,90.5,2212,25.0
377,90.4,2192,25.0
377,90.4,2192,25.0
378,90.3,2164,25.0
379,90.4,2177,25.0
379,90.4,2177,25.0
381,90.2,2134,25.0
381,90.2,2134,25.0
381,90.2,2134,25.0
381,90.2,2134,25.0
381,90.2,2134,25.0
382,90.1,2114,25.0
382,90.1,2114,25.0
382,90.1,2114,25.0
382,90.1,2114,25.0
383,90.2,2127,25.0
383,90.2,2127,25.0
384,90.1,2106,25.0
384,90.1,2106,25.0
384,90.1,2106,25.0
384,90.1,2106,25.0
385,90.2,2122,25.0
385,90.2,2122,25.0
385,90.2,2122,25.0
386,90.1,2105,25.0
386,90.1,2105,25.0
387,90.1,2125,25.0
387,90.1,2125,25.0
387,90.1,2125,25.0
388,90,2104,25.0
388,90,2104,25.0
389,90.1,2124,25.0
389,90.1,2124,25.0
389,90.1,2124,25.0
389,90.1,2124,25.0
390,90.2,2142,25.0
391,90.2,2160,25.0
392,90.3,2175,25.0
392,90.3,2175,25.0
393,90.2,2159,25.0
393,90.2,2159,25.0
393,90.2,2159,25.0
393,90.2,2159,25.0
394,90.2,2172,25.0
394,90.2,2172,25.0
394,90.2,2172,25.0
395,90.3,2192,25.0
395,90.3,2192,25.0
396,90.2,2166,25.0
396,90.2,2166,25.0
397,90.3,2180,25.0
397,90.3,2180,25.0
398,90.3,2200,25.0
398,90.3,2200,25.0
398,90.3,2200,25.0
399,90.4,2223,25.0
399,90.4,2223,25.0
399,90.4,2223,25.0
399,90.4,2223,25.0
399,90.4,2223,25.0
399,90.4,2223,25.0
400,90.4,2239,25.0
400,90.4,2239,25.0
400,90.4,2239,25.0
401,90.4,2218,25.0
401,90.4,2218,25.0
401,90.4,2218,25.0
401,90.4,2218,25.0
401,90.4,2218,25.0
402,90.3,2191,25.0
402,90.3,2191,25.0
402,90.3,2191,25.0
402,90.3,2191,25.0
402,90.3,2191,25.0
402,90.3,2191,25.0
403,90.2,2180,25.0
403,90.2,2180,25.0
404,90.3,2202,25.0
404,90.3,2202,25.0
404,90.3,2202,25.0
404,90.3,2202,25.0
