games,gxe,elo,rd
101,88.6,2027,39.1
101,88.6,2027,39.1
101,88.6,2027,39.1
101,88.6,2027,39.1
102,88.8,2050,38.9
102,88.8,2050,38.9
103,89,2068,38.7
103,89,2068,38.7
103,89,2068,38.7
103,89,2068,38.7
103,89,2068,38.7
104,89.1,2086,38.5
104,89.1,2086,38.5
104,89.1,2086,38.5
105,88.9,2064,38.3
105,88.9,2064,38.3
105,88.9,2064,38.3
106,89.1,2086,38.0
106,89.1,2086,38.0
106,89.1,2086,38.0
106,89.1,2086,38.0
107,88.9,2066,37.8
107,88.9,2066,37.8
108,89,2092,37.6
108,89,2092,37.6
108,89,2092,37.6
108,89,2092,37.6
108,89,2092,37.6
109,89.3,2114,37.4
109,89.3,2114,37.4
110,89.5,2137,37.2
110,89.5,2137,37.2
111,89.7,2155,37.0
112,89.8,2172,36.8
112,89.8,2172,36.8
112,89.8,2172,36.8
113,90,2191,36.6
113,90,2191,36.6
114,89.8,2168,36.4
114,89.8,2168,36.4
114,89.8,2168,36.4
115,90,2185,36.2
115,90,2185,36.2
115,90,2185,36.2
115,90,2185,36.2
115,90,2185,36.2
116,89.8,2162,36.0
116,89.8,2162,36.0
117,89.9,2181,35.8
117,89.9,2181,35.8
117,89.9,2181,35.8
117,89.9,2181,35.8
118,89.7,2155,35.6
118,89.7,2155,35.6
118,89.7,2155,35.6
120,89.3,2110,35.3
120,89.3,2110,35.3
120,89.3,2110,35.3
120,89.3,2110,35.3
120,89.3,2110,35.3
121,89,2091,35.1
121,89,2091,35.1
121,89,2091,35.1
122,88.8,2070,35.0
122,88.8,2070,35.0
122,88.8,2070,35.0
122,88.8,2070,35.0
122,88.8,2070,35.0
122,88.8,2070,35.0
124,88.4,2024,34.7
124,88.4,2024,34.7
124,88.4,2024,34.7
124,88.4,2024,34.7
124,88.4,2024,34.7
124,88.4,2024,34.7
125,88.1,2003,34.5
125,88.1,2003,34.5
125,88.1,2003,34.5
126,88.3,2021,34.4
126,88.3,2021,34.4
127,88.4,2044,34.2
127,88.4,2044,34.2
128,88.2,2021,34.1
128,88.2,2021,34.1
128,88.2,2021,34.1
129,88.3,2037,33.9
129,88.3,2037,33.9
129,88.3,2037,33.9
129,88.3,2037,33.9
129,88.3,2037,33.9
129,88.3,2037,33.9
129,88.3,2037,33.9
129,88.3,2037,33.9
129,88.3,2037,33.9
129,88.3,2037,33.9
129,88.3,2037,33.9
129,88.3,2037,33.9
130,88.1,2020,33.8
130,88.1,2020,33.8
130,88.1,2020,33.8
131,87.9,1998,33.6
131,87.9,1998,33.6
132,87.6,1977,33.5
132,87.6,1977,33.5
132,87.6,1977,33.5
132,87.6,1977,33.5
132,87.6,1977,33.5
133,87.8,1998,33.4
133,87.8,1998,33.4
134,87.6,1978,33.2
135,87.7,1998,33.1
135,87.7,1998,33.1
135,87.7,1998,33.1
135,87.7,1998,33.1
135,87.7,1998,33.1
136,87.5,1981,32.9
136,87.5,1981,32.9
136,87.5,1981,32.9
137,87.3,1957,34.1
137,87.3,1957,34.1
138,87.5,1980,34.0
138,87.5,1980,34.0
139,87.6,1998,33.8
139,87.6,1998,33.8
140,87.7,2018,33.7
140,87.7,2018,33.7
140,87.7,2018,33.7
141,87.9,2037,33.5
141,87.9,2037,33.5
142,88,2060,33.4
142,88,2060,33.4
143,88.2,2077,33.2
144,88.3,2091,33.1
144,88.3,2091,33.1
144,88.3,2091,33.1
144,88.3,2091,33.1
145,88.4,2108,32.9
145,88.4,2108,32.9
146,88.6,2131,32.8
146,88.6,2131,32.8
146,88.6,2131,32.8
147,88.4,2107,32.7
147,88.4,2107,32.7
148,88.5,2123,32.5
148,88.5,2123,32.5
149,88.7,2149,32.4
149,88.7,2149,32.4
150,88.8,2165,32.2
150,88.8,2165,32.2
150,88.8,2165,32.2
150,88.8,2165,32.2
150,88.8,2165,32.2
151,89,2186,32.1
151,89,2186,32.1
152,89.1,2203,32.0
152,89.1,2203,32.0
152,89.1,2203,32.0
153,89.2,2220,31.8
154,89.3,2244,31.7
154,89.3,2244,31.7
154,89.3,2244,31.7
154,89.3,2244,31.7
155,89.5,2262,31.6
156,89.6,2283,31.4
156,89.6,2283,31.4
156,89.6,2283,31.4
156,89.6,2283,31.4
156,89.6,2283,31.4
157,89.7,2302,31.3
157,89.7,2302,31.3
157,89.7,2302,31.3
158,89.9,2315,31.2
158,89.9,2315,31.2
158,89.9,2315,31.2
158,89.9,2315,31.2
158,89.9,2315,31.2
159,89.8,2288,31.1
160,89.9,2306,31.0
160,89.9,2306,31.0
160,89.9,2306,31.0
161,89.7,2273,30.8
161,89.7,2273,30.8
162,89.8,2285,30.7
162,89.8,2285,30.7
162,89.8,2285,30.7
163,89.7,2262,30.6
163,89.7,2262,30.6
164,89.8,2283,30.5
164,89.8,2283,30.5
165,89.9,2294,30.4
165,89.9,2294,30.4
166,89.7,2271,30.3
167,89.9,2290,30.2
167,89.9,2290,30.2
167,89.9,2290,30.2
167,89.9,2290,30.2
167,89.9,2290,30.2
167,89.9,2290,30.2
168,89.7,2261,30.0
169,89.8,2276,29.9
169,89.8,2276,29.9
169,89.8,2276,29.9
169,89.8,2276,29.9
170,89.6,2250,29.8
171,89.7,2264,29.7
171,89.7,2264,29.7
171,89.7,2264,29.7
172,89.8,2280,29.6
172,89.8,2280,29.6
172,89.8,2280,29.6
173,89.7,2257,29.5
173,89.7,2257,29.5
173,89.7,2257,29.5
174,89.8,2266,29.4
174,89.8,2266,29.4
175,89.9,2283,29.3
175,89.9,2283,29.3
175,89.9,2283,29.3
176,89.7,2256,29.2
176,89.7,2256,29.2
176,89.7,2256,29.2
176,89.7,2256,29.2
177,89.6,2228,29.1
177,89.6,2228,29.1
177,89.6,2228,29.1
178,89.7,2239,29.0
178,89.7,2239,29.0
179,89.6,2216,28.9
179,89.6,2216,28.9
179,89.6,2216,28.9
180,89.4,2194,28.8
180,89.4,2194,28.8
180,89.4,2194,28.8
180,89.4,2194,28.8
180,89.4,2194,28.8
181,89.5,2211,28.7
181,89.5,2211,28.7
181,89.5,2211,28.7
181,89.5,2211,28.7
181,89.5,2211,28.7
182,89.4,2181,28.6
182,89.4,2181,28.6
182,89.4,2181,28.6
182,89.4,2181,28.6
182,89.4,2181,28.6
183,89.5,2205,28.5
183,89.5,2205,28.5
184,89.6,2224,28.4
184,89.6,2224,28.4
184,89.6,2224,28.4
185,89.7,2243,28.3
185,89.7,2243,28.3
185,89.7,2243,28.3
185,89.7,2243,28.3
185,89.7,2243,28.3
185,89.7,2243,28.3
187,89.4,2196,28.2
187,89.4,2196,28.2
187,89.4,2196,28.2
187,89.4,2196,28.2
187,89.4,2196,28.2
188,89.2,2177,28.1
188,89.2,2177,28.1
189,89.3,2196,28.0
189,89.3,2196,28.0
190,89.2,2170,27.9
190,89.2,2170,27.9
190,89.2,2170,27.9
190,89.2,2170,27.9
190,89.2,2170,27.9
191,89.1,2145,27.8
191,89.1,2145,27.8
192,88.9,2122,27.7
192,88.9,2122,27.7
192,88.9,2122,27.7
192,88.9,2122,27.7
193,88.8,2098,27.6
193,88.8,2098,27.6
194,88.9,2122,27.5
194,88.9,2122,27.5
194,88.9,2122,27.5
195,88.7,2112,27.5
196,88.8,2133,27.4
196,88.8,2133,27.4
196,88.8,2133,27.4
197,88.7,2114,27.3
197,88.7,2114,27.3
197,88.7,2114,27.3
197,88.7,2114,27.3
198,88.6,2094,27.2
198,88.6,2094,27.2
199,88.6,2110,27.2
199,88.6,2110,27.2
199,88.6,2110,27.2
200,88.7,2129,27.1
200,88.7,2129,27.1
200,88.7,2129,27.1
200,88.7,2129,27.1
200,88.7,2129,27.1
201,88.8,2144,27.0
201,88.8,2144,27.0
201,88.8,2144,27.0
201,88.8,2144,27.0
202,88.7,2120,26.9
202,88.7,2120,26.9
203,88.8,2143,26.8
203,88.8,2143,26.8
204,88.9,2166,26.8
204,88.9,2166,26.8
204,88.9,2166,26.8
204,88.9,2166,26.8
204,88.9,2166,26.8
205,89,2186,26.7
205,89,2186,26.7
206,89.1,2211,26.6
206,89.1,2211,26.6
207,89.2,2235,26.5
207,89.2,2235,26.5
207,89.2,2235,26.5
207,89.2,2235,26.5
207,89.2,2235,26.5
208,89.3,2257,26.5
209,89.4,2272,26.4
209,89.4,2272,26.4
210,89.5,2289,26.3
210,89.5,2289,26.3
211,89.6,2304,26.3
211,89.6,2304,26.3
211,89.6,2304,26.3
212,89.5,2274,26.2
212,89.5,2274,26.2
213,89.6,2290,26.1
213,89.6,2290,26.1
213,89.6,2290,26.1
214,89.7,2302,26.0
214,89.7,2302,26.0
214,89.7,2302,26.0
215,89.7,2320,26.0
