games,gxe,elo,rd
104,85.5,2084,36.1
104,85.5,2084,36.1
104,85.5,2084,36.1
104,85.5,2084,36.1
105,85.8,2101,36.0
105,85.8,2101,36.0
106,86.1,2129,35.9
106,86.1,2129,35.9
106,86.1,2129,35.9
106,86.1,2129,35.9
107,86.4,2155,35.8
107,86.4,2155,35.8
107,86.4,2155,35.8
107,86.4,2155,35.8
108,86.7,2170,35.7
108,86.7,2170,35.7
109,86.9,2187,35.6
109,86.9,2187,35.6
109,86.9,2187,35.6
109,86.9,2187,35.6
110,86.8,2162,35.5
110,86.8,2162,35.5
110,86.8,2162,35.5
110,86.8,2162,35.5
110,86.8,2162,35.5
110,86.8,2162,35.5
111,86.6,2140,35.4
111,86.6,2140,35.4
111,86.6,2140,35.4
111,86.6,2140,35.4
112,86.8,2157,35.3
112,86.8,2157,35.3
112,86.8,2157,35.3
113,86.7,2135,35.2
113,86.7,2135,35.2
114,87,2160,35.1
115,87.2,2183,35.0
115,87.2,2183,35.0
116,87.1,2165,34.9
117,87.3,2182,34.8
117,87.3,2182,34.8
117,87.3,2182,34.8
118,87.6,2198,34.7
118,87.6,2198,34.7
118,87.6,2198,34.7
118,87.6,2198,34.7
118,87.6,2198,34.7
118,87.6,2198,34.7
118,87.6,2198,34.7
119,87.9,2224,34.7
119,87.9,2224,34.7
120,88.1,2241,34.6
120,88.1,2241,34.6
120,88.1,2241,34.6
120,88.1,2241,34.6
120,88.1,2241,34.6
120,88.1,2241,34.6
121,88.4,2273,34.5
121,88.4,2273,34.5
121,88.4,2273,34.5
122,88.6,2289,34.4
122,88.6,2289,34.4
123,88.9,2309,34.4
123,88.9,2309,34.4
123,88.9,2309,34.4
124,89.1,2327,34.3
124,89.1,2327,34.3
124,89.1,2327,34.3
125,89.3,2342,34.3
125,89.3,2342,34.3
125,89.3,2342,34.3
126,89.5,2354,34.2
126,89.5,2354,34.2
126,89.5,2354,34.2
127,89.4,2327,34.1
127,89.4,2327,34.1
128,89.3,2303,34.0
128,89.3,2303,34.0
128,89.3,2303,34.0
128,89.3,2303,34.0
129,89.1,2274,33.9
129,89.1,2274,33.9
129,89.1,2274,33.9
130,89,2248,33.8
130,89,2248,33.8
131,89.2,2269,33.8
131,89.2,2269,33.8
131,89.2,2269,33.8
132,89.4,2289,33.7
132,89.4,2289,33.7
132,89.4,2289,33.7
132,89.4,2289,33.7
133,89.6,2298,33.6
133,89.6,2298,33.6
134,89.8,2319,33.5
135,90,2332,33.5
135,90,2332,33.5
135,90,2332,33.5
136,90.1,2347,33.4
137,90.3,2361,33.3
137,90.3,2361,33.3
137,90.3,2361,33.3
137,90.3,2361,33.3
137,90.3,2361,33.3
138,90.2,2330,33.2
138,90.2,2330,33.2
138,90.2,2330,33.2
138,90.2,2330,33.2
139,90.4,2346,33.2
140,90.5,2355,33.1
140,90.5,2355,33.1
141,90.7,2371,33.0
141,90.7,2371,33.0
141,90.7,2371,33.0
142,90.8,2382,32.9
142,90.8,2382,32.9
142,90.8,2382,32.9
142,90.8,2382,32.9
142,90.8,2382,32.9
